,,Agricultura familiar - não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultura familiar - sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca
,Produção de lavouras temporárias,461,-,2,-,6,-,-,-,-,4,404,1,-,-,-,-,-,-,1,9,1,-,6,-,14,20,5,-,1,-,8,-,129,113,3705,-,4,-,19,-,1,1,-,12,3105,2,-,-,5,-,2,1,3,54,3,2,28,-,62,53,6,5,-,1,16,-,1510,789
,Horticultura e floricultura,13,-,2,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,1,-,-,-,-,-,8,4,136,-,10,-,-,-,-,-,-,2,75,-,-,-,-,-,-,-,-,14,-,-,-,-,1,1,1,-,-,-,1,-,98,25
,Produção de lavouras permanentes,50,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,1,-,-,15,-,-,1,-,3,2,1,1,-,-,-,-,6,11,526,-,9,-,2,-,2,-,1,4,202,-,-,-,-,-,-,-,1,151,10,-,6,-,5,3,1,1,-,-,3,-,199,69
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,Pecuária e criação de outros animais,417,-,-,-,1,-,2,-,-,20,128,-,-,2,-,3,1,-,-,22,85,-,2,-,137,77,48,41,2,2,4,-,41,34,1315,-,-,-,21,-,2,-,-,47,783,-,-,1,-,4,1,-,1,108,169,-,19,-,234,120,32,31,1,5,8,-,228,182
,Produção florestal - florestas plantadas,7,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,5,-,1,4,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,1
,Produção florestal - florestas nativas,20,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,5,1,10,2,458,-,-,-,3,-,-,-,-,-,121,-,-,1,-,-,1,-,-,5,-,1,7,-,3,3,1,1,-,1,12,3,211,197
,Pesca,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1
,Aquicultura,34,-,-,-,-,-,-,-,-,2,13,-,-,1,-,-,-,-,-,8,4,-,-,-,2,2,-,-,-,-,1,-,1,7,5,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,3,1,-,-,-,-,1,-,-,-,-,-,-,1,-
Pará,Total,8499,2,-,-,171,-,4,-,2,57,6102,9,11,2,3,19,8,19,28,834,1064,1,485,-,44,18,5,4,2,1,255,27,260,345,83414,3,-,-,1135,14,43,5,2,166,72766,28,90,5,65,19,150,171,101,6009,3452,20,4138,-,99,76,16,14,3,5,2723,128,1219,3474
